,Computer Science,Information Technology,Software Development,Data Science and Analytics,Artificial Intelligence,Machine Learning,Cyber Security,Information Security,Computer Information Systems,Information Systems,Web Design,Mobile Application,Game Design,Software Testing,Networking,Robotics,Electrical Engineering,Electronics Engineering,Electronics and Communication Engineering,Electronics and Telecommunication Engineering,Electrical and Electronic Engineering,Power Engineering,Telecommunications Engineering,Instrumentation,Energy Systems Technology,Nuclear Engineering,Mechanical Engineering,Mechanical and Mechatronics Engineering,Mechatronics,Manufacturing Engineering,Industrial Engineering,Automotive Engineering,Aerospace Engineering,Aeronautical Engineering,Marine Engineering,Nanotechnology,Civil Engineering,Structural Engineering,Construction Management,Architecture,Architectural Engineering,Urban Planning,Geotechnical Engineering,Environmental Engineering,Chemical Engineering,Process Engineering,Petroleum Engineering,Biotechnology,Biomedical Engineering,Mining Engineering,Physics,Chemistry,Mathematics,Statistics,Astrophysics,Astronomy,Geophysics,Geology,Meteorology,Actuarial Science,Biology,Biochemistry,Microbiology,Genetics,Immunology,Neuroscience,Bioinformatics,Medical Technology,Public Health,Nursing,Physiotherapy,Pharmacy,Dentistry,Veterinary Science,Speech Therapy,Nutrition,Dietetics,Health Psychology,Forestry,Agriculture,Agronomy,Plant Science,Animal Science,Business Administration,Business Management,Project Management,Risk Management,Finance,Financial Management,Insurance,Banking,Taxation,Marketing,Advertising,Public Relations,Human Resource Management,Human Resource Development,International Business,Entrepreneurship,Supply Chain Management,Transportation Management,Business Analytics,Creative Writing,Drama,Painting,Sculpture,Photography,Ceramics,Music,Theatre,Journalism,Accounts,Economics,Hospitality and Tourism Management,Diploma,Psychology,Pharmaceutical Sciences,Medical Science,Computer Technology,Agricultural Science,General Studies,Law,Language and Literature,Political Science,Sales,English,Computing,History,Food Science,Interior Design,Life Science,Health Science,Sociology,Agribusiness,Marketing Management,Animation,Zoology,Business Analysis,Geography,Visual Arts,Physical Education,Forensic Science,Humanities,Operations,Digital Business,Product Design Engineering,Horticulture,Financial Services,Philosophy,Dental Hygiene,Clinical Sciences,Gender Studies,Travel and Tourism,Multimedia,Film,Logistics,Physiology,Healthcare,Medical Radiation Technology,Textile,International Relations,Aviation,Industrial Design,Criminology,Sports Science,Culinary Skills,Engineering Management,Graphics,Textile Engineering,Lab Technician,Radiologic Science,International Management,Construction,Drug Development,Fisheries,Public Administration,Biomedical Sciences,Behavioral Sciences,Culinary Arts,Material Science,Textiles,Sports Management,Anthropology,IT Business Analytics,Electromechanical Engineering,Event Management,Management Consulting,Technical Management,Transportation,Physical Sciences,Human Service,Plastics Engineering,Fire Science,Nanoscience,Elementary Education,Primary Education,Education Assistance,Early Childhood Education,Educational Training,Community Development,Dairy,Mobile Communication,Poultry,Marine Biology,Education Counseling,Psychiatric Nursing,Aviation Technology,Secondary Education,Therapist Assistant,Interactive Media,Mariculture,Legal Assistant,Developmental Service Worker,Library,Mining,Respiratory Care,Animal Care,Theology,Physical Activity,Cinematography,Organizational Management,Archaeology,Communicative Disorder,Justice and Emergency Services,Art,Oral Science,Child and Youth Worker,Fishery,Real Estate,Water Resource,Animal Conservation,Property Administration,Biomechanical Devices,Child Care,Criminal Science,Cytotechnology,Exercise,Fitness,Innovation,Aesthetics,Heating,Office Administration,Paper and Bioprocess,Studio Art,Interdisciplinary Studies,Police and Public Safety,Publishing,Autism,Bakery and Pastry Arts,Kinesiology,Spatial Engineering,Wine Making,Acupuncture,Court Support,Exhibition/Event,Gerontology,Hair Styling,Interdisciplinary Engineering,Midwifery,Museum and Gallery Studies,Brewery,Carpentry,Esthetic Services,Ethnic Studies,Firefighting,International Criminology,Military,Reading,Therapeutic Recreation,Welding and Fabrication,Winery,Woodworking
Web Design,85,85,85,85,85,85,85,85,85,85,100,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Mobile Application,85,85,85,85,85,85,85,85,85,85,85,100,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Game Design,85,85,85,85,85,85,85,85,85,85,85,85,100,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Software Testing,85,85,95,85,85,85,85,85,85,85,85,85,85,100,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Networking,85,85,85,85,85,85,85,85,85,85,85,85,85,85,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Robotics,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,75,75,75,75,75,75,75,75,75,75,85,85,85,85,85,85,85,85,85,85,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Electrical Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,85,85,85,85,95,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Electronics Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,100,85,85,85,85,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Electronics and Communication Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,85,100,85,85,85,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Electronics and Telecommunication Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,85,85,100,85,85,95,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Electrical and Electronic Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,85,85,85,100,85,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Power Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,95,85,85,85,85,100,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Telecommunications Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,85,85,95,85,85,100,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Instrumentation,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,85,85,85,85,85,85,100,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Energy Systems Technology,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,85,85,85,85,85,85,85,100,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Nuclear Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,85,85,85,85,85,85,85,85,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Mechanical Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,75,75,75,75,75,75,75,75,75,75,100,85,85,85,85,85,85,85,85,85,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Mechanical and Mechatronics Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,75,75,75,75,75,75,75,75,75,75,85,100,95,85,85,85,85,85,85,85,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Mechatronics,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,75,75,75,75,75,75,75,75,75,75,85,95,100,85,85,85,85,85,85,85,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Manufacturing Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,75,75,75,75,75,75,75,75,75,75,85,85,85,100,85,85,85,85,85,85,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Industrial Engineering,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,85,75,75,75,75,75,75,75,75,75,75,85,85,85,85,100,85,85,85,85,85,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
